Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,33n,C_0603_1608Metric,216.408,-132.588,-90.0,top
C2,33n,C_0603_1608Metric,218.44,-131.94,-90.0,top
C3,4.7u,C_0603_1608Metric,132.588,-189.484,0.0,top
C4,4.7u,C_0603_1608Metric,137.16,-179.324,90.0,top
C5,2.2u,C_0603_1608Metric,129.032,-183.388,0.0,top
C6,4.7u,C_0603_1608Metric,121.92,-179.324,0.0,top
C7,4.7u,C_0603_1608Metric,133.096,-179.324,180.0,top
C8,220n,C_0603_1608Metric,198.628,-115.57,90.0,top
C9,100n,C_0603_1608Metric,201.168,-113.284,180.0,top
D1,LED_RGB,E6C1615RGBC3UDA-A01,180.34,-129.54,90.0,top
D10,LED_RGB,E6C1615RGBC3UDA-A01,165.1,-63.5,180.0,top
D11,LED_RGB,E6C1615RGBC3UDA-A01,246.38,-63.5,180.0,top
D12,LED_RGB,E6C1615RGBC3UDA-A01,223.52,-114.3,180.0,top
D13,LED_RGB,E6C1615RGBC3UDA-A01,180.34,-142.24,90.0,top
D14,LED_RGB,E6C1615RGBC3UDA-A01,231.14,-142.24,90.0,top
D15,LED_RGB,E6C1615RGBC3UDA-A01,187.96,-114.3,180.0,top
D16,LED_RGB,E6C1615RGBC3UDA-A01,144.78,-78.74,180.0,top
D17,LED_RGB,E6C1615RGBC3UDA-A01,266.7,-78.74,180.0,top
D18,LED_RGB,E6C1615RGBC3UDA-A01,227.33,-114.3,180.0,top
D19,LED_RGB,E6C1615RGBC3UDA-A01,180.34,-148.59,90.0,top
D2,LED_RGB,E6C1615RGBC3UDA-A01,231.14,-129.54,90.0,top
D20,LED_RGB,E6C1615RGBC3UDA-A01,231.14,-148.59,90.0,top
D21,LED_RGB,E6C1615RGBC3UDA-A01,191.77,-114.3,180.0,top
D22,LED_RGB,E6C1615RGBC3UDA-A01,124.46,-93.98,180.0,top
D23,LED_RGB,E6C1615RGBC3UDA-A01,287.02,-93.98,180.0,top
D24,LED_RGB,E6C1615RGBC3UDA-A01,231.14,-114.3,180.0,top
D25,LED_RGB,E6C1615RGBC3UDA-A01,180.34,-154.94,90.0,top
D26,LED_RGB,E6C1615RGBC3UDA-A01,231.14,-154.94,90.0,top
D27,LED_RGB,E6C1615RGBC3UDA-A01,180.34,-118.11,180.0,top
D28,LED_RGB,E6C1615RGBC3UDA-A01,144.78,-109.22,180.0,top
D29,LED_RGB,E6C1615RGBC3UDA-A01,266.7,-109.22,180.0,top
D3,LED_RGB,E6C1615RGBC3UDA-A01,180.34,-114.3,180.0,top
D30,LED_RGB,E6C1615RGBC3UDA-A01,219.71,-118.11,180.0,top
D31,LED_RGB,E6C1615RGBC3UDA-A01,180.34,-161.29,90.0,top
D32,LED_RGB,E6C1615RGBC3UDA-A01,231.14,-161.29,90.0,top
D33,LED_RGB,E6C1615RGBC3UDA-A01,184.15,-118.11,180.0,top
D34,LED_RGB,E6C1615RGBC3UDA-A01,124.46,-124.46,180.0,top
D35,LED_RGB,E6C1615RGBC3UDA-A01,287.02,-124.46,180.0,top
D36,LED_RGB,E6C1615RGBC3UDA-A01,223.52,-118.11,180.0,top
D37,LED_RGB,E6C1615RGBC3UDA-A01,180.34,-167.64,90.0,top
D38,LED_RGB,E6C1615RGBC3UDA-A01,231.14,-167.64,90.0,top
D39,LED_RGB,E6C1615RGBC3UDA-A01,187.96,-118.11,180.0,top
